pca_x,pca_y,cluster,cluster_name,loan_amount,income,interest_rate,ltv
0.19495419913958,1.0657625408570914,0,Kelas Menengah (Grup 1),865000,208.0,6.75,
-0.2896570382380258,0.6075887684696605,0,Kelas Menengah (Grup 1),515000,,6.0,
-2.18099205693718,0.5449067890933779,0,Kelas Menengah (Grup 1),75000,41.0,,60.8
0.13887709343721638,0.2579888611011138,0,Kelas Menengah (Grup 1),155000,51.0,5.625,101.409
-1.506890584874309,-0.0832729033726501,0,Kelas Menengah (Grup 1),155000,67.0,4.5,96.837
-1.4204349822491988,0.4948712217336347,0,Kelas Menengah (Grup 1),115000,75.0,,
-1.4509091042051585,0.9123366635658918,0,Kelas Menengah (Grup 1),205000,,3.5,
-1.971651167926397,6.24124411547483,0,Kelas Menengah (Grup 1),425000,204.0,6.875,75.0
0.09554168587947495,1.0581757594759078,0,Kelas Menengah (Grup 1),205000,59.0,5.0,96.5
-0.7062315435638848,0.7805755537554218,0,Kelas Menengah (Grup 1),255000,,4.5,
-1.4934471996121113,-1.1192385591424294,0,Kelas Menengah (Grup 1),265000,261.0,6.375,34.788
-0.24861572437710974,1.0815371523737072,0,Kelas Menengah (Grup 1),275000,187.0,,
-0.2923397703576729,0.661745904749445,0,Kelas Menengah (Grup 1),25000,13.0,,
-0.7888205430833807,0.8188956797511271,0,Kelas Menengah (Grup 1),85000,,4.25,
-1.6902322870743343,0.04664262451085814,0,Kelas Menengah (Grup 1),225000,41.0,4.125,101.5
-0.5769672436232115,0.45453608061506523,0,Kelas Menengah (Grup 1),265000,52.0,3.75,100.0
-0.6875102332324584,0.3123792027436394,0,Kelas Menengah (Grup 1),315000,,5.125,
-2.181354085145241,0.29738644648865736,0,Kelas Menengah (Grup 1),35000,60.0,,73.476
-0.49528442878204315,0.12011414701744501,0,Kelas Menengah (Grup 1),125000,,4.625,
0.05581895816481213,0.8062917487320719,0,Kelas Menengah (Grup 1),225000,82.0,,
-2.6236102024975083,10.510538559754947,0,Kelas Menengah (Grup 1),155000,131.0,,
-2.354955370821915,0.44070300622427333,0,Kelas Menengah (Grup 1),65000,10.0,,
-0.8060121628759039,0.6600434819606094,0,Kelas Menengah (Grup 1),375000,93.0,5.99,95.0
-0.4925900511110366,0.4165172423375197,0,Kelas Menengah (Grup 1),95000,67.0,,
-0.47569798258259216,0.5265680436224341,0,Kelas Menengah (Grup 1),135000,73.0,3.625,50.0
-1.3609239409972618,0.35448148869521684,0,Kelas Menengah (Grup 1),235000,64.0,,
-0.8502905323941721,0.2814669530561162,0,Kelas Menengah (Grup 1),115000,31.0,3.5,85.0
-0.41572846540245634,0.8083953121082548,0,Kelas Menengah (Grup 1),55000,10.0,,
-1.1256288879932403,0.5233904472504026,0,Kelas Menengah (Grup 1),245000,57.0,,
-0.9730969850993021,0.4671430397574176,0,Kelas Menengah (Grup 1),415000,123.0,3.5,94.0
-2.49666211491322,0.7752038022777492,0,Kelas Menengah (Grup 1),195000,,3.625,
-0.09491178917903065,0.36554396195110633,0,Kelas Menengah (Grup 1),95000,37.0,3.95,30.2
-0.9738558616497082,0.9165999103563873,0,Kelas Menengah (Grup 1),55000,79.0,,
-1.1723854120478512,-0.0782050983705786,0,Kelas Menengah (Grup 1),35000,141.0,6.0,89.956
-1.0567844501447592,0.9658565194593601,0,Kelas Menengah (Grup 1),345000,,5.0,51.49
-1.0456274196670197,1.0708641390047149,0,Kelas Menengah (Grup 1),145000,111.0,,
-0.8178707501241146,0.1214497373051975,0,Kelas Menengah (Grup 1),215000,,5.25,
-1.5116159161515583,-0.13301675610104186,0,Kelas Menengah (Grup 1),65000,107.0,,
0.1433419103536332,1.0676275631162433,0,Kelas Menengah (Grup 1),805000,151.0,2.0,32.0
-1.7631337221670047,0.26312377763502454,0,Kelas Menengah (Grup 1),155000,82.0,3.0,37.975
-1.155174159749958,0.32324572772026994,0,Kelas Menengah (Grup 1),75000,42.0,5.48,22.59
-1.1914323422837878,1.1251925285164404,0,Kelas Menengah (Grup 1),265000,65.0,,85.0
-1.2780212273907634,0.313325014881603,0,Kelas Menengah (Grup 1),125000,172.0,6.3,61.92
-2.0433923280334496,0.24175645507525065,0,Kelas Menengah (Grup 1),115000,,4.5,93.05
-2.0417398929762753,0.8444135266739977,0,Kelas Menengah (Grup 1),255000,73.0,,
-1.8991109430567341,1.675624800380076,0,Kelas Menengah (Grup 1),85000,,5.125,
-0.9091376247885734,1.3428896972271236,0,Kelas Menengah (Grup 1),145000,,6.25,
-1.228141262222605,0.7456519122691845,0,Kelas Menengah (Grup 1),95000,41.0,,
-1.2457245055835384,0.6840379399913818,0,Kelas Menengah (Grup 1),275000,,3.875,
-1.5316616666639797,0.8919109404742763,0,Kelas Menengah (Grup 1),175000,71.0,3.0,89.0
-1.3719062994134663,0.7583740941644349,0,Kelas Menengah (Grup 1),945000,212.0,,
-0.5506353139048535,0.627880241388451,0,Kelas Menengah (Grup 1),145000,30.0,4.938,96.5
-1.4719446208096145,-0.6007489362630354,0,Kelas Menengah (Grup 1),335000,77.0,,
-0.1437084976172301,1.0656352854118174,0,Kelas Menengah (Grup 1),195000,390.0,,
-0.5713838466324991,1.2462981833580498,0,Kelas Menengah (Grup 1),45000,120.0,,60.0
-0.850800263076004,0.20721823718239976,0,Kelas Menengah (Grup 1),85000,71.0,,
-1.528996384891333,0.22515837180885334,0,Kelas Menengah (Grup 1),335000,140.0,6.25,102.0
-1.6969244344768941,0.5987392768717027,0,Kelas Menengah (Grup 1),425000,158.0,,84.0
-1.1797289584081478,0.15383467668288442,0,Kelas Menengah (Grup 1),215000,,4.0,62.653
-0.6444512639256882,1.0666438318914613,0,Kelas Menengah (Grup 1),475000,,4.125,
-1.663188016506585,0.8180854323338229,0,Kelas Menengah (Grup 1),205000,85.0,,
-0.6370339461116685,1.3691636351000687,0,Kelas Menengah (Grup 1),65000,,,51.0
-0.2043412162780697,0.4603995846683912,0,Kelas Menengah (Grup 1),165000,,4.75,
-0.6295034574446464,1.2128117978621014,0,Kelas Menengah (Grup 1),485000,107.0,,80.0
-2.1487367191438698,-0.8624183050933029,0,Kelas Menengah (Grup 1),175000,24.0,,
-0.3372288432123824,0.03564639806488067,0,Kelas Menengah (Grup 1),665000,120.0,,
-1.03153584955229,0.45652094560564777,0,Kelas Menengah (Grup 1),105000,90.0,6.24,15.57
-1.7915610194736957,0.8412069591616594,0,Kelas Menengah (Grup 1),65000,39.0,2.75,37.5
-2.24982089024263,0.6518189683743034,0,Kelas Menengah (Grup 1),25000,,,41.494
-1.2711044408120262,0.524694716859635,0,Kelas Menengah (Grup 1),35000,,6.875,
-4.224958621739032,-0.207953434151401,0,Kelas Menengah (Grup 1),115000,0.0,,56.061
-1.340203416522382,0.25609479399026724,0,Kelas Menengah (Grup 1),165000,27.0,,
-1.2766583055028904,0.8066205359744261,0,Kelas Menengah (Grup 1),95000,,4.625,
-1.382248734978502,0.662545543904021,0,Kelas Menengah (Grup 1),165000,18.0,,76.526
-0.609912608164499,0.7709565184178819,0,Kelas Menengah (Grup 1),145000,59.0,3.375,57.143
-1.838007683777357,0.8497949826296352,0,Kelas Menengah (Grup 1),345000,,5.625,
-1.2105170111250934,0.7920106623907025,0,Kelas Menengah (Grup 1),205000,63.0,,
-2.631043398637589,-0.20242189758737814,0,Kelas Menengah (Grup 1),75000,21.0,,
-0.030120394151216527,0.25984911074342487,0,Kelas Menengah (Grup 1),55000,21.0,4.5,46.512
-1.882190786427654,0.6758763911933112,0,Kelas Menengah (Grup 1),65000,,9.5,
-1.3138953597157215,-0.23910170960645286,0,Kelas Menengah (Grup 1),145000,41.0,3.125,
-0.951538007864598,1.0721986330982547,0,Kelas Menengah (Grup 1),175000,45.0,6.5,99.757
-4.220897537392909,-0.20641494297239749,0,Kelas Menengah (Grup 1),165000,37.0,4.375,88.0
-1.5427268734435915,0.3719898301192819,0,Kelas Menengah (Grup 1),45000,43.0,3.25,76.22
-1.1561879747976715,0.47949832518805174,0,Kelas Menengah (Grup 1),155000,51.0,4.0,100.0
-1.1361707895911812,0.7167876792535067,0,Kelas Menengah (Grup 1),85000,115.0,,
-0.7608519697558968,0.7557882677061717,0,Kelas Menengah (Grup 1),285000,112.0,4.875,66.88
-0.9135165062448644,0.10889984046773504,0,Kelas Menengah (Grup 1),185000,52.0,,
0.13460481866007054,1.0887840790110095,0,Kelas Menengah (Grup 1),415000,,2.875,
0.3040006346922196,0.7748731846946766,0,Kelas Menengah (Grup 1),725000,211.0,3.0,80.0
-0.05196722038861932,0.8439666143621779,0,Kelas Menengah (Grup 1),215000,65.0,7.625,80.0
-1.1145606271573987,0.5756543230516488,0,Kelas Menengah (Grup 1),155000,35.0,3.499,65.79
-1.123458514437101,0.8417164375656068,0,Kelas Menengah (Grup 1),125000,76.0,7.9,
-0.4488233984885195,1.2955511967943338,0,Kelas Menengah (Grup 1),95000,,4.125,
-0.6219897378556023,1.7280984334862575,0,Kelas Menengah (Grup 1),105000,,3.625,
-0.5512557949746627,0.16773231539771194,0,Kelas Menengah (Grup 1),65000,59.0,,83.1
-0.2792911566308257,0.7955263973868579,0,Kelas Menengah (Grup 1),325000,64.0,5.0,80.0
-0.5964463455469604,0.913836654156742,0,Kelas Menengah (Grup 1),85000,75.0,,
0.0557785364745334,1.1616272522244184,0,Kelas Menengah (Grup 1),325000,84.0,3.25,
-2.1354385307962054,-0.03303594883328677,0,Kelas Menengah (Grup 1),125000,58.0,6.5,95.0
-1.3245886457430986,0.37719809161998274,0,Kelas Menengah (Grup 1),115000,54.0,,
-0.4314561202337368,0.9130758218200653,0,Kelas Menengah (Grup 1),165000,73.0,,95.0
0.8123524274201458,1.4018560553729495,0,Kelas Menengah (Grup 1),415000,111.0,,
0.07440770473926495,0.641007668678136,0,Kelas Menengah (Grup 1),315000,77.0,4.5,96.5
-0.9383754572814217,0.3611325878299449,0,Kelas Menengah (Grup 1),165000,62.0,4.625,98.18
-2.005358445736632,0.08431077664741266,0,Kelas Menengah (Grup 1),275000,55.0,4.99,95.0
-0.18091891441176663,0.8469735313248257,0,Kelas Menengah (Grup 1),435000,0.0,,80.0
-2.0293278698951553,0.4914159602074772,0,Kelas Menengah (Grup 1),305000,95.0,4.4,100.0
-0.32969967598250327,1.0768063111043797,0,Kelas Menengah (Grup 1),25000,52.0,,
-1.02582506164308,0.37898370624191774,0,Kelas Menengah (Grup 1),345000,,4.75,
