antecedents,consequents,support,confidence,lift
"derived_dwelling_category_multifamily:site-built, purchaser_type_0",total_units_5-24,0.0026501590095405723,0.7181571815718157,251.9698568915514
"conforming_loan_limit_missing, purchaser_type_0",total_units_5-24,0.0027101626097565854,0.7112860892388451,249.5590919556108
"derived_dwelling_category_multifamily:site-built, state_code_other",total_units_5-24,0.0014100846050763046,0.6980198019801981,244.90453361125589
"conforming_loan_limit_missing, state_code_other",total_units_5-24,0.0014500870052203132,0.69377990430622,243.4169394778813
"derived_dwelling_category_multifamily:site-built, derived_loan_product_type_conventional:first lien",total_units_5-24,0.0027401644098645917,0.6936708860759493,243.37868976238062
"derived_dwelling_category_multifamily:site-built, lien_status_1",total_units_5-24,0.0027401644098645917,0.6919191919191918,242.7640971114655
"conforming_loan_limit_missing, construction_method_1",derived_dwelling_category_multifamily:site-built,0.004130247814868892,1.0,242.11622276029055
"construction_method_1, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027901674100446025,1.0,242.11622276029055
"conforming_loan_limit_missing, derived_loan_product_type_conventional:first lien",total_units_5-24,0.0028001680100806048,0.6879606879606879,241.37523169102113
"conforming_loan_limit_missing, lien_status_1",total_units_5-24,0.0028001680100806048,0.6862745098039215,240.78362573099412
"combined_loan_to_value_ratio_bin_(0.129, 68.474], total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0010100606036362182,0.9901960784313725,239.74253430185632
"conforming_loan_limit_missing, interest_rate_bin_missing",derived_dwelling_category_multifamily:site-built,0.0012700762045722742,0.9844961240310076,238.3624828725341
"derived_dwelling_category_multifamily:site-built, loan_type_1",total_units_5-24,0.0027901674100446025,0.6788321167883211,238.17241644256626
"derived_dwelling_category_multifamily:site-built, preapproval_2",total_units_5-24,0.0027801668100086007,0.6780487804878049,237.8975780915704
"loan_size_Large, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.002180130807848471,0.981981981981982,237.7537682961412
total_units_5-24,derived_dwelling_category_multifamily:site-built,0.0027901674100446025,0.9789473684210526,237.0190391232318
"loan_type_1, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027901674100446025,0.9789473684210526,237.0190391232318
"conforming_loan_limit_missing, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027901674100446025,0.9789473684210526,237.0190391232318
"occupancy_type_3, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027901674100446025,0.9789473684210526,237.0190391232318
derived_dwelling_category_multifamily:site-built,total_units_5-24,0.0027901674100446025,0.6755447941888619,237.0190391232318
"conforming_loan_limit_missing, derived_dwelling_category_multifamily:site-built",total_units_5-24,0.0027901674100446025,0.6755447941888619,237.0190391232318
"conforming_loan_limit_missing, construction_method_1",total_units_5-24,0.0027901674100446025,0.6755447941888619,237.0190391232318
"derived_dwelling_category_multifamily:site-built, occupancy_type_3",total_units_5-24,0.0027901674100446025,0.6755447941888619,237.0190391232318
"construction_method_1, derived_dwelling_category_multifamily:site-built",total_units_5-24,0.0027901674100446025,0.6755447941888619,237.0190391232318
"preapproval_2, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027801668100086007,0.9788732394366199,237.0010912935239
"derived_loan_product_type_conventional:first lien, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027401644098645917,0.9785714285714285,236.92801798685576
"lien_status_1, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0027401644098645917,0.9785714285714285,236.92801798685576
"reverse_mortgage_2, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0022801368082084926,0.9785407725321889,236.92059566243026
"debt_to_income_ratio_missing, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.002260135608136488,0.9783549783549783,236.87561187803317
"purchaser_type_0, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0026501590095405723,0.977859778597786,236.75571598330995
"co_applicant_age_missing, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.002560153609216553,0.9770992366412213,236.5715764375358
"combined_loan_to_value_ratio_bin_missing, conforming_loan_limit_missing",derived_dwelling_category_multifamily:site-built,0.0012700762045722742,0.9769230769230769,236.52892531197617
"derived_race_race not available, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.00250015000900054,0.9765625,236.44162378934624
"conforming_loan_limit_missing, loan_type_1",total_units_5-24,0.0028501710102606156,0.6737588652482269,236.39243498817967
"applicant_age_missing, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.002420145208712523,0.9758064516129031,236.25857220963834
"conforming_loan_limit_missing, preapproval_2",total_units_5-24,0.0028401704102246133,0.6729857819905213,236.1211939802112
"state_code_other, total_units_5-24",derived_dwelling_category_multifamily:site-built,0.0014100846050763046,0.9724137931034483,235.4371545462136
"loan_term_bin_(0.999, 300.0], total_units_5-24",derived_dwelling_category_multifamily:site-built,0.001750105006300378,0.9722222222222222,235.39077212806026
"conforming_loan_limit_missing, loan_purpose_31",derived_dwelling_category_multifamily:site-built,0.0014000840050403024,0.9722222222222221,235.39077212806023
"co_applicant_age_missing, conforming_loan_limit_missing",derived_dwelling_category_multifamily:site-built,0.0038402304138248295,0.9721518987341772,235.37374567076347
derived_dwelling_category_multifamily:site-built,conforming_loan_limit_missing,0.004130247814868892,1.0,235.28
"derived_dwelling_category_multifamily:site-built, occupancy_type_3",conforming_loan_limit_missing,0.004130247814868892,1.0,235.28
"construction_method_1, derived_dwelling_category_multifamily:site-built",conforming_loan_limit_missing,0.004130247814868892,1.0,235.28
"derived_dwelling_category_multifamily:site-built, loan_type_1",conforming_loan_limit_missing,0.004110246614796888,1.0,235.28
