row_index,loan_amount,income,combined_loan_to_value_ratio,interest_rate,debt_to_income_ratio,rate_spread,loan_term,total_loan_costs,origination_charges,tract_population,tract_minority_population_percent,tract_to_msa_income_percentage,tract_median_age_of_housing_units,applicant_age,stat_score,if_score,if_flag,dbscan_noise,tier,typology
47226,2405000,1937.0,57.1429,8.99,15.0,,12.0,,,0,0.0,0.0,0,59.5,5,-0.199,True,1.0,High Confidence,Rare Legitimate
856,755000,961.0,16.67,2.55,15.0,-0.448,360.0,5378.33,1155.0,5080,24.7,292.0,0,80.0,3,-0.1444,True,1.0,High Confidence,Rare Legitimate
20274,925000,718.0,44.14,2.35,55.0,-0.1382,360.0,5389.52,800.0,8256,15.35,292.0,64,80.0,4,-0.1433,True,1.0,High Confidence,Rare Legitimate
94275,24275000,,40.666,5.67,,,60.0,,,0,0.0,0.0,0,,3,-0.1394,True,1.0,High Confidence,Unclassified / Manual Review
44059,3085000,3059.0,73.53,,15.0,,360.0,,,7110,18.44,149.0,73,49.5,2,-0.1164,True,1.0,High Confidence,Unclassified / Manual Review
27286,2005000,620.0,52.0,5.375,45.0,-1.248,360.0,,,0,0.0,0.0,0,49.5,3,-0.1103,True,1.0,High Confidence,Rare Legitimate
34137,1255000,1591.0,60.38,6.35,25.0,0.555,300.0,,,3058,19.78,222.0,0,59.5,3,-0.1012,True,1.0,High Confidence,Unclassified / Manual Review
3182,905000,156.0,73.171,,65.0,,360.0,,,15755,67.06,168.0,11,29.5,3,-0.1008,True,1.0,High Confidence,Unclassified / Manual Review
12481,1085000,498.0,80.0,4.125,33.0,-0.655,180.0,5870.95,1290.0,14425,63.79,172.0,8,49.5,4,-0.1002,True,1.0,High Confidence,Unclassified / Manual Review
87365,645000,1034.0,47.553,6.625,15.0,,180.0,,,4966,37.35,263.0,23,59.5,2,-0.0991,True,1.0,High Confidence,Rare Legitimate
97612,9505000,,59.0,8.03,,,160.0,,,3465,49.58,0.0,66,,2,-0.0934,True,1.0,High Confidence,Unclassified / Manual Review
27537,3365000,1273.0,60.0,1.625,41.0,-0.834,360.0,8630.25,1465.0,1474,32.43,70.0,47,49.5,2,-0.0888,True,1.0,High Confidence,Rare Legitimate
66123,255000,165.0,38.127,6.25,25.0,-0.352,360.0,4904.71,995.0,14451,71.78,209.0,9,39.5,3,-0.0845,True,1.0,High Confidence,Unclassified / Manual Review
58455,1775000,615.0,64.364,3.25,25.0,-0.434,360.0,9596.15,2960.0,7726,73.26,177.0,27,69.5,2,-0.0834,True,1.0,High Confidence,Unclassified / Manual Review
6241,285000,757.0,80.0,3.25,25.0,-1.18,120.0,,,2011,13.28,302.0,49,59.5,2,-0.0813,True,1.0,High Confidence,Unclassified / Manual Review
70842,1705000,610.0,75.0,4.875,37.0,-0.445,360.0,13793.97,1395.0,7652,16.41,283.0,56,39.5,3,-0.0809,True,1.0,High Confidence,Unclassified / Manual Review
26667,35000,144.0,5.14,4.25,15.0,-0.21,240.0,,,15965,14.72,124.0,12,39.5,2,-0.0759,True,1.0,High Confidence,Unclassified / Manual Review
38537,2105000,368.0,53.84,3.875,48.0,-0.59938,360.0,16000.0,3514.0,4228,20.77,311.0,0,59.5,3,-0.0734,True,1.0,High Confidence,Rare Legitimate
50549,595000,1216.0,80.0,6.25,25.0,-0.53,120.0,,,4205,13.34,238.0,62,39.5,2,-0.072,True,1.0,High Confidence,Unclassified / Manual Review
56217,35000,65.0,14.528,,65.0,,180.0,,,9627,92.21,164.0,17,39.5,2,-0.0709,True,1.0,High Confidence,Unclassified / Manual Review
91978,5000,2.0,,,65.0,,60.0,,,3384,37.41,0.0,30,20.0,2,-0.0705,True,1.0,High Confidence,Unclassified / Manual Review
33528,215000,78.0,36.414,3.25,33.0,0.184,360.0,3807.96,2306.0,17666,21.56,168.0,6,69.5,2,-0.0695,True,1.0,High Confidence,Unclassified / Manual Review
7389,1825000,318.0,90.0,2.875,41.0,-0.394,360.0,7614.5,1107.0,2364,25.89,295.0,0,39.5,3,-0.063,True,1.0,High Confidence,Unclassified / Manual Review
99776,995000,317.0,30.273,3.625,36.0,-0.38,180.0,4988.77,1440.0,4672,25.26,198.0,0,80.0,2,-0.0628,True,1.0,High Confidence,Rare Legitimate
33432,15000,,300.0,,15.0,,180.0,,,12839,82.25,62.0,18,29.5,2,-0.0625,True,1.0,High Confidence,Data Error
32856,25000,92.0,80.92,,55.0,,360.0,,,27220,69.7,141.0,6,59.5,2,-0.0621,True,1.0,High Confidence,Unclassified / Manual Review
55529,385000,92.0,96.5,4.5,47.0,0.394,360.0,9650.78,0.0,24651,51.39,190.0,6,29.5,2,-0.0621,True,1.0,High Confidence,Unclassified / Manual Review
29111,1755000,528.0,95.0,4.375,39.0,-0.387,360.0,11056.75,1152.0,3746,55.34,311.0,55,29.5,3,-0.0612,True,1.0,High Confidence,Unclassified / Manual Review
47029,325000,,63.0,6.625,,,480.0,,,18071,43.76,157.0,6,49.5,2,-0.0592,True,1.0,High Confidence,Unclassified / Manual Review
61111,255000,2400.0,51.964,5.24,43.0,-0.28,180.0,0.0,0.0,3047,23.63,304.0,33,59.5,2,-0.0578,True,1.0,High Confidence,Unclassified / Manual Review
73028,345000,139.0,96.5,5.124,44.0,1.265,360.0,14008.28,6272.41,27220,69.7,141.0,6,39.5,2,-0.056,True,1.0,High Confidence,Unclassified / Manual Review
10776,275000,44.0,,,,,,,,18656,57.28,158.0,8,80.0,2,-0.0554,True,1.0,High Confidence,Unclassified / Manual Review
80174,2505000,392.0,71.429,4.625,55.0,0.142,360.0,4162.0,550.0,8429,26.87,160.0,33,39.5,3,-0.0554,True,1.0,High Confidence,Unclassified / Manual Review
46726,95000,42.0,,,65.0,,276.0,,,18071,43.76,157.0,6,29.5,2,-0.0552,True,1.0,High Confidence,Unclassified / Manual Review
82114,645000,140.0,64.079,4.75,41.0,0.872,360.0,6994.39,2015.0,14451,71.78,209.0,9,39.5,3,-0.0512,True,1.0,High Confidence,Unclassified / Manual Review
24393,155000,419.0,60.78,3.75,25.0,0.26,240.0,,,15965,14.72,124.0,12,49.5,2,-0.0477,True,1.0,High Confidence,Unclassified / Manual Review
55613,465000,170.0,31.0,4.5,33.0,0.504,180.0,12947.45,10035.0,6342,31.38,283.0,37,80.0,2,-0.0468,True,1.0,High Confidence,Rare Legitimate
